#,Brand,Industry,Times Advertised,Unique Profiles,Decision Maker,Role,Email,Influencer1,Role,Email,Influencer2,Role,Email,Influencer3,Role,Email,Influencer4,Role,Email,Variants Merged,All Variants
4240.0,Pregnancy Gifts,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4241.0,PF Boutique,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4242.0,pHformula,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4243.0,Prosilio Restaurant,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4244.0,PhiAcademy,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4245.0,One Piece Sushi & Noodle Bar,Food & Beverage / Restaurant,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4246.0,PhysioWorx,Health,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4247.0,Pilates Hub GR,Fitness,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4248.0,Pilot,Office Supplies,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4249.0,Perlier,Beauty,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4250.0,Permabliss,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4251.0,Pluton Travel,Travel,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4252.0,Schneider Electric,Electronics,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4253.0,Scorpios Mykonos,Entertainment and Leisure,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4254.0,Secret Burger,Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4255.0,Self-Portrait,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4256.0,Semya,Fashion,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4257.0,Phos Boutique Hotel Santorini,Travel,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4258.0,Passion and Coco,Fashion,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4259.0,Onira Home,Home,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4260.0,Online Business Opportunity,Business,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4261.0,Orgahue,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4262.0,Össur,Health,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4263.0,Oui Madame,Cafe / Food Service,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4264.0,Numarine,Automotive / Maritime (Luxury Yachts),5.0,3.0,,,,,,,,,,,,,,,,1.0,
4265.0,Nutrio,Health,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4266.0,Pallas Theatre,Entertainment,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4267.0,RAW,Fitness,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4268.0,Red Jasper Cabaret Theatre,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4269.0,Planet Fitness and More,Fitness,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4270.0,Reolink,Security Camera Systems,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4271.0,REVCELL,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4272.0,Skeyndor,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4273.0,Skip Wonder Wash,Cleaning Products / Detergents,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4274.0,Rien by Penny Vomva,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4275.0,Puerta de la Moda,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4276.0,Pulse Fitness & Spa,Health,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4277.0,PURELAB,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4278.0,QJmotor,Automotive,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4279.0,RAF,Home Appliances,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4280.0,Pindos,Food,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4281.0,REN Clean Skincare,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4282.0,Camorra Fashion,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4283.0,Caldo Milano,Beauty,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4284.0,Banana Athens,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4285.0,Bali Catamarans,Automotive,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4286.0,Zografos,Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4287.0,Zoocchini,Baby & Toddler Products,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4288.0,Baby Brezza,Baby Appliances,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4289.0,B.V. Line,Beauty / Salon,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4290.0,B Exclusive,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4291.0,Allemi Coffee Roasters,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4292.0,NMDF,Dance and Performing Arts,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4293.0,Agora,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4294.0,Alize Puffy,Craft / Textiles,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4295.0,Alice Fashion Kids,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4296.0,Alexi Andriotti,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4297.0,Alexandrakis Photography,Photography,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4298.0,Alex The Fresh Pasta Bar,Food,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4299.0,Amma Roses,Floral and Luxury Gifts,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4300.0,ALÉMAIS,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4301.0,ALE,Fashion,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4302.0,Amandier,Bakery,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4303.0,Alti Santorini Suites,Travel,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4304.0,Aiakeion,Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4305.0,Γιατρός Nutrition,Dietary Supplements / Nutrition,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4306.0,Δρόσια,Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4307.0,Δροσιά (Drosia),Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4308.0,Η ΤΑΡΑΤΣΑ ΤΟΥ ΦΟΙΒΟΥ,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4309.0,ΟΙΚΟΓΕΝΕΙΑΚΕΣ ΙΣΤΟΡΙΕΣ ΤΩΝ ΚΡΗΤΙΚΩΝ ON TOUR,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4310.0,Όλυμπος (Olympus),Dairy / Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4311.0,Πι & Φι (Pi & Fi),Professional Home & Personal Services,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4312.0,Το μέλι της αρκούδας,Food,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4313.0,Aspa,Music,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4314.0,ARTENS,Art & Culture,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4315.0,Barong Piraeus,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4316.0,Aroma Whispers,Home Fragrance,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4317.0,Aroma Memory,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4318.0,åyios ATHENS,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4319.0,ARKET,Fashion,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4320.0,Γευστική Γωνιά (Geustiki Gonia),Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4321.0,Ariane Coiffure,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4322.0,Athens Cosmetic Medicine,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4323.0,Athens Blockchain Summit,Education / Finance,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4324.0,Athénée,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4325.0,Atelier Loukia,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4326.0,Asuactive,Activewear/Apparel,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4327.0,Arpyes,Fashion,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4328.0,Acerbis,Automotive,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4329.0,A Magic Cabinet,Gifting & Retail,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4330.0,5p.m.official,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4331.0,44GROUP,Automotive,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4332.0,2310 Break,Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4333.0,Aidonakia Summer Splash Festival,Entertainment,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4334.0,1664 Blanc,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4335.0,Agathe,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4336.0,Aesthetica,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4337.0,Aesthetic Candles,Home Decor,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4338.0,Althea Boutique Hotel,Hospitality,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4339.0,Aegialis Hotel & Spa,Travel,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4340.0,Alente Jewels,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4341.0,Astra Suites,Hospitality / Luxury Hotels,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4342.0,Aston Martin,Automotive,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4343.0,Akira Mushi,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4344.0,Akanthus Club,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4345.0,Air Arabia,Airline,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4346.0,Aigli Iera Odos,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4347.0,Aigli Geni Hamam,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4348.0,Amazing Evia,Travel,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4349.0,Amelie Handmade Beauty,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4350.0,AENO,Home Appliances,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4351.0,Alterra,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4352.0,ALOHA SUNSET,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4353.0,Anna Kandaraki,Health,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4354.0,All'Antico Vinaio,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4355.0,All Olia,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4356.0,Anestos Tattoos,Art,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4357.0,Anestis Barber,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4358.0,Ananke Clothing,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4359.0,Anahata Yoga Academy,Education,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4360.0,Amy's Cosmetics,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4361.0,Aphaea,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4362.0,Adorobox,Confectionery / Food Retail,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4363.0,"Ελλάδα 2025: Επιχειρείν, Ακίνητα, Επενδύσεις (Event)",Education / Business Events,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4364.0,Η Κυρά του Φεγγαριού (The Lady of the Moon),Literature / Books,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4365.0,Bio-Oil,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4366.0,Answear,Fashion,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4367.0,ANODOS LIVE STAGE,Entertainment,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4368.0,Annie the Musical,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4369.0,Annabelle Moda,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4370.0,Anna Samouka,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4371.0,1tok3,Entertainment / Digital Gaming,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4372.0,Achaiki Pita,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4373.0,Adore Beauty,Beauty,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4374.0,BioAgros,Food,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4375.0,The Lynx Mountain Resort,Hospitality / Travel,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4376.0,The Mart,Lifestyle,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4377.0,The Moire,Fashion,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4378.0,Tfit,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4379.0,Thalkymos,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4380.0,The Ranch,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4381.0,Welcome Stores,Consumer Electronics & Household Appliances,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4382.0,Welock,Smart Locks / Home Security,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4383.0,What's Up (Cosmote),Technology,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4384.0,Wingman,Food & Beverage,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4385.0,Yakinthos Natural Products,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4386.0,arChive Visual Storytellers,Photography,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4387.0,Aprilia,Automotive,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4388.0,WWE,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4389.0,Vivify,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4390.0,VOG Club Athens,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4391.0,Vour,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4392.0,Vyzantio Pastry Shop,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4393.0,vzoomvzoom,Art,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4394.0,Vasiliki Tsertseli,Fitness,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4395.0,Vavel Eye Candy,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4396.0,Wedohype,Business,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4397.0,WinMedica,Health,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4398.0,Truth Roulette,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4399.0,Tsede Senses,Home Fragrance,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4400.0,Two in a Castle,Children's Clothing,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4401.0,Yvonni Ntosta Collection,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4402.0,Zagori,Bottled Water,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4403.0,Universal Pictures,Entertainment,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4404.0,THESS BAO,Cooking,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4405.0,Thirio Tattoo Removal,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4406.0,Thorax,DIY (Do It Yourself),5.0,1.0,,,,,,,,,,,,,,,,1.0,
4407.0,TNS Beauty,Beauty,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4408.0,Tokyo Joe,Food,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4409.0,The Luxury Collection,Hospitality,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4410.0,The Purest Solutions,Beauty,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4411.0,Toyota Gazoo Racing,Automotive,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4412.0,The Real Gift,Gift Services,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4413.0,The Shoe Repair Shop,Business Services,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4414.0,The Soap Lab,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4415.0,The Westin Resort Costa Navarino,Travel,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4416.0,The Whale,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4417.0,The Jerkins,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4418.0,The Last Butler,Entertainment / Hospitality,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4419.0,Therme Bucuresti,Entertainment / Wellness,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4420.0,The Lunch Bags,Lifestyle,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4421.0,The Pop Up Project,Event Management,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4422.0,Zemra,Food / Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4423.0,Zigoala,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4424.0,Zimmermann,Fashion,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4425.0,ZINAS,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4426.0,xtypato,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4427.0,Yabatours,Travel,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4428.0,Zoubourlou,Food,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4429.0,Yazio,Health,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4430.0,Yianna Terzi,Entertainment/Music,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4431.0,YOLK,Food / Hospitality,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4432.0,Ventella,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4433.0,Yuma,Home Fragrance,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4434.0,Woody Tales,Family,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4435.0,Worth Experimental Dance Summit,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4436.0,Zakapa Athens,Entertainment,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4437.0,XDX Jewelry,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4438.0,Xenia Exhibition,Hospitality / Events,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4439.0,XFIT,Fitness,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4440.0,Xoutous,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4441.0,Xriselia,Cooking,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4442.0,Wealth Avenue Investment Synergies,Financial Services / Real Estate Investment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4443.0,WECOSS,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4444.0,Younails_Youhair,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4445.0,Vespa,Automotive,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4446.0,Viber,Communication,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4447.0,Vimagazino,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4448.0,Vinge Project,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4449.0,UNIBET,Gambling,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4450.0,UniStudents,Technology,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4451.0,Vivienne Sabo,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4452.0,Upgrade,Beauty,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4453.0,Upwatch,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4454.0,Vadal Jewelry,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4455.0,Valentina-Christina,Event Planning & Gift Services,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4456.0,Zeblaze,Consumer Electronics,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4457.0,Tonia Moraitaki Jewelry,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4458.0,Toucan Paxos,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4459.0,Venchi,Chocolate / Gelato,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4460.0,ΑΦΗΣ,Sustainability,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4461.0,Αφοί Ασημακόπουλοι,Confectionery,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4462.0,Γεύση & Ουσία (Geusi & Ousia),Food,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4463.0,Apo ton topo mas,Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4464.0,APM Monaco,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4465.0,astrojason.gr,Astrology,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4466.0,Antistrofi Metrisi,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4467.0,Antelejewels,Jewelry,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4468.0,Vasan,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4469.0,Elissavet Handmade,Art,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4470.0,Elit Vodka,Alcoholic Beverages,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4471.0,ELIVI Skiathos,Hospitality,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4472.0,easyJet,Airline,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4473.0,Efthaliadis Jewels,Jewelry,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4474.0,Emergent AI,Technology,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4475.0,Fyllossia,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4476.0,Galderma,Health,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4477.0,GALINIKO,Beauty,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4478.0,GAND,Home,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4479.0,Gassi Holidays,Travel,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4480.0,House of Wine,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4481.0,One/Size Beauty,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4482.0,George Kali Hair Salon,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4483.0,FOSBLOQUE,Fashion,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4484.0,Fouad,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4485.0,Fournoi Agathis,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4486.0,Foxbet,Gambling,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4487.0,Franco Malberti,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4488.0,Financial Greeks,Finance,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4489.0,fishome,Fashion & Home Decor,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4490.0,Frutti di Mare,Food,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4491.0,Flair,Dairy,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4492.0,Flaixible,Business,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4493.0,Flamin' Hot,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4494.0,Flashing Diaries Boutique,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4495.0,How to Make Your First Million (Book),Business,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4496.0,Dr. Anna Kandaraki,Health,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4497.0,Excite Fashion Jewellery,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4498.0,F Smashing District,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4499.0,Face by Christina Academy,Beauty / Education,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4500.0,Fame Boutique,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4501.0,Farout Beach Club,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4502.0,Gorilla Wear,Fashion,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4503.0,Grande Boutique,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4504.0,Felices Latin Party,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4505.0,Estellshine,Jewelry,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4506.0,Etherio The Scent Lab,Beauty,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4507.0,Etiqueta,Home,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4508.0,Elina's Luxury Lashes,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4509.0,Etsy,E-commerce,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4510.0,Ellie Lashes,Beauty,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4511.0,EmBIO Medical Center,Health,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4512.0,Ex Machina,Food,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4513.0,Emiliano Zapata Cocina,Food,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4514.0,EMST (National Museum of Contemporary Art Athens),Art,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4515.0,EN STORIE,Fashion,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4516.0,Eonia,Beauty,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4517.0,Epithimies.gr,Business,5.0,5.0,,,,,,,,,,,,,,,,1.0,
4518.0,El Sueno,Handmade Gifts / Event Favors,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4519.0,Elaya,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4520.0,Erreway,Music,5.0,3.0,,,,,,,,,,,,,,,,1.0,
4521.0,Elegant Handmade,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4522.0,Etre Clothing,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4523.0,GNX Nutrition,Dietary Supplements,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4524.0,Gogo Sandals,Fashion,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4525.0,Golden Goose,Fashion,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4526.0,Golden Yachts,Luxury,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4527.0,Gaya,Restaurant,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4528.0,Genesis,Fitness,5.0,4.0,,,,,,,,,,,,,,,,1.0,
4529.0,Greek ADV Riders,Entertainment,5.0,1.0,,,,,,,,,,,,,,,,1.0,
4530.0,Get Ap South,Entertainment,5.0,2.0,,,,,,,,,,,,,,,,1.0,
4531.0,Get Up Studio,Education,5.0,3.0,,,,,,,,,,,,,,,,1.0,
